Penalizer,r,alpha,a,b,a_plus_b,InvalidPredictions30d,InvalidPredictions90d,InvalidPredictions180d,InvalidPredictions365d,FitWarnings,FitSucceeded
0.0,0.6214740629219769,46.34716594632783,0.05115851298424519,1.4721983889299692,1.5233569019142144,0,0,0,0,,True
0.0001,0.6216578900029551,46.306794465192056,0.044196701914601594,1.1570854026425674,1.201282104557169,0,0,0,0,,True
0.001,0.6210842912698493,46.22728602704013,0.030817930258010516,0.6833249737153684,0.7141429039733789,77,644,1362,1362,,True
0.01,0.6049767727389939,45.16469541224198,0.015082641826776107,0.295576379747223,0.3106590215739991,0,142,490,1190,,True
0.1,0.49556428162891336,36.932872465660246,0.004686563381309691,0.09332130481834575,0.09800786819965544,0,53,271,733,,True
